source,target,value,sweep_2,sweep_3,sweep_4,sweep_5
Parent locus of control,Conduct problems,0.00012374319,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parent locus of control,Hyperactivity/inattention,2.0226296e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parent locus of control,Prosocial behaviour,3.6448753e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Conduct problems
Parent locus of control,Hyperactivity/inattention,2.7101556e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Hyperactivity/inattention
Parent locus of control,Prosocial behaviour,2.2851671e-05,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems,Prosocial behaviour
Parent locus of control,Self-harm,1.6677754e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Plays sports
Parent locus of control,Smoking,1.7992008e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Feelings (anger)
Parent locus of control,Bullies others,2.0192447e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Feelings (anger)
Parent locus of control,Self-harm,1.905651e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Feelings (worrying)
Parent locus of control,Self-harm,3.776931e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Feelings (fear)
Parent locus of control,Negative feelings,2.6045505e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Feelings (fear)
Parent locus of control,Smoking,2.9335948e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent locus of control,Alcohol,1.6070722e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent locus of control,Truancy,1.7859184e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent locus of control,Emotional dysfunction,8.826358e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent locus of control,Peer relationship problems,2.0135074e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent locus of control,Smoking,6.2776526e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Alcohol,2.9303428e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Illegal behaviour,2.9637444e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Bullies others,3.792944e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Truancy,4.362055e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Self-harm,3.9751143e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Conduct problems,0.00013023496,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Hyperactivity/inattention,2.1287402e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Prosocial behaviour,3.8360915e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent locus of control,Smoking,0.00013766099,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Alcohol,0.00031442932,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Cognition (vocabulary),6.850275e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Illegal behaviour,6.580823e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Bullies others,3.1709766e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Truancy,8.850611e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Self-harm,0.000109047345,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Wellbeing,0.00012260092,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Self-esteem,2.5969259e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Negative feelings,2.6166028e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Emotional dysfunction,3.956186e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Conduct problems,0.0001209464,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Hyperactivity/inattention,0.0010076014,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Peer relationship problems,6.6231856e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Prosocial behaviour,2.1926046e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Alcohol,2.4940306e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent locus of control,Cognition (vocabulary),1.7508037e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent locus of control,Truancy,1.5733103e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent locus of control,Peer relationship problems,0.000103697086,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent locus of control,Prosocial behaviour,5.8470785e-05,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention,Prosocial behaviour
Parent locus of control,Peer relationship problems,5.38956e-05,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems,Peer relationship problems
Parent locus of control,Prosocial behaviour,4.795347e-05,Hyperactivity/inattention,Hyperactivity/inattention,Prosocial behaviour,Prosocial behaviour
Parent locus of control,Peer relationship problems,5.666029e-05,Hyperactivity/inattention,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Prosocial behaviour,2.1747563e-05,Hyperactivity/inattention,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent locus of control,Smoking,3.191366e-05,Peer relationship problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Alcohol,1.7482836e-05,Peer relationship problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Truancy,1.9428448e-05,Peer relationship problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Emotional dysfunction,9.601918e-05,Peer relationship problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Peer relationship problems,2.1904316e-05,Peer relationship problems,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Conduct problems,1.7216445e-05,Peer relationship problems,Conduct problems,Conduct problems,Conduct problems
Parent locus of control,Alcohol,2.08814e-05,Peer relationship problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Hyperactivity/inattention,6.691529e-05,Peer relationship problems,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Smoking,2.2991666e-05,Peer relationship problems,Peer relationship problems,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Emotional dysfunction,6.9175425e-05,Peer relationship problems,Peer relationship problems,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Peer relationship problems,1.57806e-05,Peer relationship problems,Peer relationship problems,Emotional dysfunction,Emotional dysfunction
Parent locus of control,Hyperactivity/inattention,3.7685793e-05,Peer relationship problems,Peer relationship problems,Hyperactivity/inattention,Hyperactivity/inattention
Parent locus of control,Emotional dysfunction,4.3209053e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Emotional dysfunction
Parent locus of control,Conduct problems,1.948864e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Conduct problems
Parent locus of control,Hyperactivity/inattention,3.5705023e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Hyperactivity/inattention
Parent locus of control,Smoking,3.353595e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Alcohol,7.8241304e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Cognition (vocabulary),5.4925218e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Illegal behaviour,1.7435874e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Truancy,4.9356993e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Self-harm,4.1487827e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Wellbeing,2.6248656e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Negative feelings,3.655284e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Emotional dysfunction,2.8927552e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Hyperactivity/inattention,2.1630287e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Peer relationship problems,0.0003253126,Peer relationship problems,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent locus of control,Prosocial behaviour,3.8432132e-05,Peer relationship problems,Peer relationship problems,Peer relationship problems,Prosocial behaviour
Parent locus of control,Prosocial behaviour,2.0457761e-05,Peer relationship problems,Peer relationship problems,Prosocial behaviour,Prosocial behaviour
Parent locus of control,Prosocial behaviour,3.89329e-05,Peer relationship problems,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent locus of control,Conduct problems,1.6798362e-05,Prosocial behaviour,Prosocial behaviour,Conduct problems,Conduct problems
Parent locus of control,Prosocial behaviour,0.00010107843,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Conduct problems,2.5075535e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Hyperactivity/inattention,2.002818e-05,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Prosocial behaviour,1.672691e-05,Parenting (general),Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Emotional dysfunction,1.729582e-05,Parenting (rules),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Hyperactivity/inattention,1.7425284e-05,Parenting (rules),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Smoking,4.1656862e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Alcohol,1.944499e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Illegal behaviour,1.9666635e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Bullies others,2.5168987e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Truancy,2.8945458e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Self-harm,2.637782e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,8.642052e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Prosocial behaviour,2.5455303e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Hyperactivity/inattention,1.892735e-05,Harsh parenting,Conduct problems,Conduct problems,Hyperactivity/inattention
Parent self-esteem,Prosocial behaviour,1.5959291e-05,Harsh parenting,Conduct problems,Conduct problems,Prosocial behaviour
Parent self-esteem,Hyperactivity/inattention,1.9589377e-05,Harsh parenting,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Conduct problems,1.7353257e-05,Harsh parenting,Hyperactivity/inattention,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,1.8263638e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent self-esteem,Smoking,1.9305035e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Alcohol,4.409433e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Self-harm,1.5292371e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Wellbeing,1.719307e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Conduct problems,1.6961047e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,0.00014130205,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,1.4542072e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent self-esteem,Peer relationship problems,1.7347604e-05,Harsh parenting,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Prosocial behaviour,2.95497e-05,Harsh parenting,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Conduct problems,2.4918334e-05,Parent mental health,Life satisfaction,Digital access,Conduct problems
Parent self-esteem,Hyperactivity/inattention,1.6551938e-05,Parent mental health,Life satisfaction,Digital access,Hyperactivity/inattention
Parent self-esteem,Emotional dysfunction,3.0351053e-05,Parent mental health,Life satisfaction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Hyperactivity/inattention,3.7922364e-05,Parent mental health,Life satisfaction,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Prosocial behaviour,3.1576685e-05,Parent mental health,Life satisfaction,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Emotional dysfunction,3.831303e-05,Parent mental health,Household chaos,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Smoking,1.687801e-05,Parent mental health,Household chaos,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,3.5014793e-05,Parent mental health,Household chaos,Conduct problems,Conduct problems
Parent self-esteem,Hyperactivity/inattention,2.5577016e-05,Parent mental health,Household chaos,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Smoking,4.2136733e-05,Parent mental health,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Alcohol,2.3083207e-05,Parent mental health,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Bullies others,1.8084816e-05,Parent mental health,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Truancy,2.5652065e-05,Parent mental health,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Emotional dysfunction,0.00012677752,Parent mental health,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Peer relationship problems,2.8921044e-05,Parent mental health,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Smoking,2.940755e-05,Parent mental health,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Bullies others,1.776798e-05,Parent mental health,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Truancy,2.043397e-05,Parent mental health,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Self-harm,1.8621353e-05,Parent mental health,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,6.1008337e-05,Parent mental health,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Prosocial behaviour,1.7970104e-05,Parent mental health,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,2.2033819e-05,Parent mental health,Hyperactivity/inattention,Conduct problems,Conduct problems
Parent self-esteem,Emotional dysfunction,1.571629e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent self-esteem,Conduct problems,2.318975e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent self-esteem,Smoking,2.4512035e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Alcohol,5.598756e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Truancy,1.5759475e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Self-harm,1.9417066e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Wellbeing,2.1830425e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Conduct problems,2.1535821e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,0.00017941439,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,1.8464396e-05,Parent mental health,Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent self-esteem,Emotional dysfunction,3.5274974e-05,Parent mental health,Peer relationship problems,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Hyperactivity/inattention,1.9217303e-05,Parent mental health,Peer relationship problems,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Emotional dysfunction,2.2033808e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Emotional dysfunction
Parent self-esteem,Hyperactivity/inattention,1.8207244e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Hyperactivity/inattention
Parent self-esteem,Smoking,1.7101156e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Alcohol,3.9897986e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Cognition (vocabulary),2.8008293e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Truancy,2.5168862e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Self-harm,2.1156096e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Negative feelings,1.8639574e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Emotional dysfunction,1.4751173e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Peer relationship problems,0.0001658883,Parent mental health,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Prosocial behaviour,1.959789e-05,Parent mental health,Peer relationship problems,Peer relationship problems,Prosocial behaviour
Parent self-esteem,Prosocial behaviour,2.2862581e-05,Parent mental health,Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Smoking,1.5599218e-05,Neighbourhood,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,3.2361837e-05,Neighbourhood,Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Hyperactivity/inattention,3.9630726e-05,Neighbourhood,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,4.8536353e-05,Neighbourhood,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Hyperactivity/inattention,2.5656049e-05,School readiness,Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,1.8523448e-05,School readiness,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,3.392122e-05,Vocabulary,Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Cognition (vocabulary),1.6659673e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Cognition (vocabulary)
Parent self-esteem,Hyperactivity/inattention,3.3430973e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Hyperactivity/inattention
Parent self-esteem,Prosocial behaviour,1.4650863e-05,Vocabulary,Cognition (vocabulary),Cognition (reading),Prosocial behaviour
Parent self-esteem,Cognition (vocabulary),2.310319e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Cognition (vocabulary)
Parent self-esteem,Emotional dysfunction,2.0032825e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Emotional dysfunction
Parent self-esteem,Hyperactivity/inattention,1.816109e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,2.0793335e-05,Vocabulary,Cognition (vocabulary),Cognition (numbers),Peer relationship problems
Parent self-esteem,Peer relationship problems,1.5562537e-05,Vocabulary,Cognition (vocabulary),Peer relationship problems,Peer relationship problems
Parent self-esteem,Emotional dysfunction,3.329507e-05,Vocabulary,Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Alcohol,2.0756086e-05,Vocabulary,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,6.651372e-05,Vocabulary,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,4.848425e-05,Vocabulary,Peer relationship problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Emotional dysfunction,2.8198292e-05,Independence),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Alcohol,2.3107466e-05,Independence),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,7.404881e-05,Independence),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Prosocial behaviour,4.471451e-05,Independence),Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Hyperactivity/inattention,2.078781e-05,Self-regulation),Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Smoking,3.1453546e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Alcohol,1.723078e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Truancy,1.914834e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Emotional dysfunction,9.463484e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Peer relationship problems,2.1588512e-05,Self-regulation),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Emotional dysfunction,1.8398094e-05,Self-regulation),Conduct problems,Emotional dysfunction,Emotional dysfunction
Parent self-esteem,Smoking,9.75441e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Alcohol,4.5532568e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Cognition (vocabulary),1.5529098e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Illegal behaviour,4.6051577e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Bullies others,5.8935933e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Truancy,6.777896e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Self-harm,6.176655e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Negative feelings,1.9851359e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Emotional dysfunction,1.6209167e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,0.0002023631,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Hyperactivity/inattention,3.3077024e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Prosocial behaviour,5.9606376e-05,Self-regulation),Conduct problems,Conduct problems,Conduct problems
Parent self-esteem,Hyperactivity/inattention,4.432046e-05,Self-regulation),Conduct problems,Conduct problems,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,2.0138072e-05,Self-regulation),Conduct problems,Conduct problems,Peer relationship problems
Parent self-esteem,Prosocial behaviour,3.737042e-05,Self-regulation),Conduct problems,Conduct problems,Prosocial behaviour
Parent self-esteem,Hyperactivity/inattention,4.587067e-05,Self-regulation),Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,2.1657439e-05,Self-regulation),Conduct problems,Peer relationship problems,Peer relationship problems
Parent self-esteem,Prosocial behaviour,2.9436289e-05,Self-regulation),Conduct problems,Prosocial behaviour,Prosocial behaviour
Parent self-esteem,Smoking,1.816443e-05,Self-regulation),Hyperactivity/inattention,Conduct problems,Conduct problems
Parent self-esteem,Conduct problems,3.7683578e-05,Self-regulation),Hyperactivity/inattention,Conduct problems,Conduct problems
Parent self-esteem,Emotional dysfunction,2.6878954e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Emotional dysfunction
Parent self-esteem,Smoking,1.9117368e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent self-esteem,Conduct problems,3.966052e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parent self-esteem,Smoking,4.1921972e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Alcohol,9.575333e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Cognition (vocabulary),2.0861176e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Illegal behaviour,2.0040614e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Truancy,2.6952814e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Self-harm,3.3208245e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Wellbeing,3.733572e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Conduct problems,3.6831872e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Hyperactivity/inattention,0.00030684538,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,2.0169622e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parent self-esteem,Peer relationship problems,3.157893e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parent self-esteem,Prosocial behaviour,1.7806138e-05,Self-regulation),Hyperactivity/inattention,Hyperactivity/inattention,Prosocial behaviour
Parent self-esteem,Peer relationship problems,1.6412854e-05,Self-regulation),Hyperactivity/inattention,Peer relationship problems,Peer relationship problems
